catalyst,temperature,compound,HC,nominal,O2_in,O2_out,NO_in,NO_out,NH3_in,NH3_out,NO2_in,NO2_out,N2O_in,N2O_out
Cu12AEZ,400,O2,C3,9,9,9,400.1,383.7,412,390.9,0,0.8,0,1.3
Cu12AEZ,400,O2,C3,10,10,10,401.4,382.2,414.3,389.2,0,0.5,0,1.3
Cu12AEZ,400,O2,C3,12,12,12,401.7,381.7,413.7,389.7,0,1.1,0,1.6
Cu12AEZ,400,O2,C3,20,20,20,402.5,375.4,416.4,380.9,0,1,0,1.8
Cu12AEZ,400,O2,C12,2,2,2,403.5,397,335,324.1,0,5.2,0,2
Cu12AEZ,400,O2,C12,4,4,4,403.1,392.8,332.6,319,0,4.3,0,1.7
Cu12AEZ,400,O2,C12,6,6,6,406,389.1,337.7,316.8,0,3.4,0,2.1
Cu12AEZ,400,O2,C12,9,9,9,404.8,386.7,332.9,315.4,0,2.5,0,1.7
Cu12AEZ,400,O2,C12,10,10,10,406.5,381,336.2,312.3,0,2.3,0,1.7
Cu12AEZ,400,O2,C12,12,12,12,408,374,338.9,306.7,0,2.7,0,1.7
Cu14SSZ1325,250,NO,None,200,8,8,202.3,175.9,352,322.1,0,2.5,0,0.7
Cu14SSZ1325,250,NO,None,300,8,8,307.1,272,352.3,316,0,2.3,0,0.7
Cu14SSZ1325,250,NO,None,350,8,8,357.3,320,350,312.7,0,2.5,0,1
Cu14SSZ1325,250,NO,None,400,8,8,407,366.6,347.3,311.4,0,2.5,0,1.2
Cu14SSZ1325,250,NO,None,450,8,8,435.6,409.8,345.8,306.2,0,2.2,0,1.1
Cu14SSZ1325,250,NO,None,500,8,8,494.9,453.1,340.1,304.1,0,2.8,0,1.4
Cu14SSZ1325,250,NO,None,600,8,8,580.5,535.3,338.6,298.1,0,2.4,0,1.4
Cu14SSZ1325,250,NH3,None,200,8,8,407.8,370,153.4,103.3,0,2.2,0,1.1
Cu14SSZ1325,250,NH3,None,300,8,8,408.1,371.4,260.7,216.5,0,2.3,0,0.9
Cu14SSZ1325,250,NH3,None,350,8,8,408.3,372.9,310.3,268,0,2.7,0,1.1
Cu14SSZ1325,250,NH3,None,400,8,8,407,374.2,357.3,319.9,0,2.8,0,1
Cu14SSZ1325,250,NH3,None,450,8,8,406,374.4,401.9,366,0,2.5,0,1
Cu14SSZ1325,250,NH3,None,500,8,8,407.1,375.8,444.9,412.2,0,3,0,1.2
Cu14SSZ1325,250,NH3,None,600,8,8,407.2,376,526.8,497,0,3.3,0,1.2
